日付,曜日,特定日,1013番台,,,,,,,1014番台,,,,,,,1015番台,,,,,,,1016番台,,,,,,,1017番台,,,,,,,1018番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-27,月,いいえ,"-1,480","4,099",8,14,1/186,1/5.92,3.63,-772,"1,289",3,0,1/430,1/5.94,2.26,"-1,120","3,767",11,8,1/198,1/6.18,2.41,+686,"2,987",15,8,1/130,1/6.47,3.28,+191,"3,565",14,10,1/149,1/6.04,3.23,+0,"5,942",22,17,1/152,1/6.05,3.14
2026-04-26,日,はい,"-2,065","3,576",6,7,1/275,1/5.95,2.21,"+1,349","6,631",27,30,1/116,1/6.29,5.17,+413,"5,997",20,22,1/143,1/5.68,4.28,"-1,194","4,748",13,11,1/198,1/5.85,2.40,"-1,968","5,002",12,16,1/179,1/6.52,3.43,+539,"6,756",28,16,1/154,1/5.98,2.42
2026-04-25,土,はい,+937,"5,246",23,15,1/138,1/6.02,3.30,"-1,990","4,774",11,10,1/227,1/6.00,2.14,-82,"5,751",21,19,1/144,1/6.25,3.82,"+1,395","5,673",29,12,1/138,1/6.23,2.37,-704,"4,916",15,15,1/164,1/6.03,3.34,+239,"5,701",22,16,1/150,1/6.01,3.10
2026-04-24,金,いいえ,-352,"3,786",12,11,1/165,1/5.88,3.23,+231,"7,124",24,25,1/145,1/5.81,4.14,+350,"3,693",16,9,1/148,1/6.16,2.89,+109,"6,050",22,17,1/155,1/5.87,3.05,"+1,385","5,973",28,15,1/139,1/5.97,2.80,-288,"6,572",23,19,1/156,1/6.03,3.12
2026-04-23,木,いいえ,-161,"2,644",8,6,1/189,1/5.37,2.78,-785,"4,781",15,13,1/171,1/6.08,2.92,"-1,040","1,936",4,4,1/242,1/6.27,2.77,"-2,179","3,974",7,10,1/234,1/6.16,2.61,"-1,126","3,369",11,5,1/211,1/6.49,2.07,+173,"8,236",29,31,1/137,1/6.14,4.60
2026-04-22,水,はい,-134,"4,628",16,16,1/145,1/6.16,3.93,"+1,749","4,371",24,10,1/129,1/6.03,2.79,+978,"5,280",26,11,1/143,1/6.28,2.36,+996,"3,691",17,11,1/132,1/5.91,3.51,+425,"5,177",21,15,1/144,1/6.10,3.30,-505,"3,226",11,6,1/190,1/5.98,2.37
2026-04-21,火,いいえ,"+1,153","4,661",22,12,1/137,1/5.96,3.00,+628,"6,336",25,17,1/151,1/5.81,2.89,-398,"3,480",13,8,1/166,1/6.38,2.71,+344,"5,582",20,22,1/133,1/6.10,4.59,-280,"3,934",13,11,1/164,1/5.89,3.11,-319,"5,330",20,14,1/157,1/6.28,2.85
2026-04-20,月,いいえ,"-1,764","4,424",11,9,1/221,1/6.10,2.17,-692,"7,221",23,26,1/147,1/6.22,4.24,-534,"4,529",16,8,1/189,1/5.91,2.03,-475,"7,111",22,30,1/137,1/6.26,4.92,"-1,103","7,402",21,25,1/161,1/5.96,3.81,+685,"5,416",21,21,1/129,1/6.12,4.55
2026-04-19,日,いいえ,+950,"4,907",23,11,1/144,1/6.03,2.55,"-1,882","4,665",10,10,1/233,1/5.79,2.19,-806,"3,598",12,6,1/200,1/6.12,2.13,-787,"6,118",24,6,1/204,1/6.06,1.43,-406,"4,789",15,16,1/154,1/5.99,3.74,+116,"6,100",20,23,1/142,1/5.87,4.41
2026-04-18,土,はい,+537,"8,467",32,29,1/139,1/6.09,4.15,"+2,551","7,733",38,25,1/123,1/6.10,4.06,-273,"7,511",26,24,1/150,1/6.08,3.64,"-1,738","5,074",11,17,1/181,1/6.06,3.59,+426,"6,457",27,16,1/150,1/6.13,2.61,"-2,992","6,701",13,18,1/216,1/5.98,2.51
2026-04-17,金,いいえ,+549,"8,074",26,37,1/128,1/5.94,5.23,"-1,881","2,898",5,8,1/223,1/6.76,3.00,"+1,330","5,043",22,20,1/120,1/6.09,4.65,"+1,823","6,334",30,23,1/120,1/6.27,4.50,-405,"3,264",9,12,1/155,1/5.88,3.95,-77,"5,036",15,22,1/136,1/5.95,4.81
2026-04-16,木,はい,"+1,085","4,332",20,15,1/124,1/6.22,4.09,"-1,340","5,775",15,22,1/156,1/6.26,4.31,-440,"2,937",10,6,1/184,1/6.03,2.58,"+1,299","6,285",23,26,1/128,1/5.64,4.85,-821,"3,022",10,4,1/216,1/6.16,2.07,"-1,331","5,206",16,12,1/186,1/6.25,2.37
2026-04-15,水,いいえ,-333,"3,564",13,9,1/162,1/6.27,2.91,+203,"3,384",16,4,1/169,1/6.22,1.99,+814,"5,543",22,16,1/146,1/5.71,3.25,-26,"4,056",16,10,1/156,1/6.18,2.82,"+3,414","4,283",28,12,1/107,1/5.67,3.60,+302,"8,940",31,33,1/140,1/5.99,4.53
2026-04-14,火,いいえ,"+1,404","2,016",14,5,1/106,1/6.46,3.37,-414,"1,223",3,2,1/245,1/5.64,2.87,-127,"2,752",9,7,1/172,1/5.65,3.00,+101,"1,812",6,8,1/129,1/6.02,4.20,-463,"3,862",12,11,1/168,1/5.90,3.15,-478,"3,855",15,9,1/161,1/6.66,2.70
2026-04-13,月,いいえ,-508,"2,480",8,6,1/177,1/6.24,2.95,-83,"5,080",21,12,1/154,1/6.42,2.59,"-1,005","3,667",10,7,1/216,1/5.77,2.24,-163,"5,186",18,17,1/148,1/6.11,3.73,"-1,049","3,392",8,10,1/188,1/5.95,3.19,-744,"4,790",17,9,1/184,1/6.15,2.08
2026-04-12,日,いいえ,+358,"5,123",21,12,1/155,1/5.96,2.56,"-1,335","3,339",9,6,1/223,1/6.25,2.24,+56,"2,817",11,7,1/157,1/6.02,3.01,-578,"1,655",4,4,1/207,1/5.96,3.06,"+1,699","7,143",32,23,1/130,1/6.01,3.91,-96,"2,597",9,6,1/173,1/5.72,2.86
