日付,曜日,特定日,1076番台,,,,,1077番台,,,,,1078番台,,,,,1080番台,,,,,1081番台,,,,,1082番台,,,,,1083番台,,,,,1085番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-08,金,いいえ,+278,736,4,2,1/123,+607,918,6,2,1/115,"-2,730","4,649",10,13,1/202,+662,"3,225",16,8,1/134,+938,872,6,4,1/87,+477,405,3,1,1/101,-683,"2,489",8,7,1/166,"-3,285","6,371",18,12,1/212
2026-05-07,木,いいえ,"-2,463","4,410",8,15,1/192,-265,175,0,0,-,"-3,553","3,502",5,5,1/350,-109,807,4,4,1/101,"+4,245","3,271",27,12,1/84,-227,157,0,0,-,-56,"1,538",6,4,1/154,"-1,528","2,121",4,5,1/236
2026-05-06,水,はい,"+1,647","1,680",11,7,1/93,"+1,713","2,154",16,3,1/113,+995,"8,420",40,22,1/136,"+3,445","7,250",39,24,1/115,+594,"3,858",17,14,1/124,"+1,430","4,315",22,15,1/117,"-3,328","5,656",15,9,1/236,"-1,125","2,185",4,9,1/168
2026-05-05,火,いいえ,-857,578,0,1,1/578,-667,544,1,0,1/544,"-2,502","7,806",25,19,1/177,-372,897,4,2,1/150,"-1,505","5,672",18,15,1/172,"+1,755","3,055",16,13,1/105,-855,508,0,0,-,-368,"8,265",32,23,1/150
2026-05-04,月,いいえ,"+3,856","1,988",23,3,1/76,+673,757,4,5,1/84,"-8,523","6,791",4,8,1/566,-702,444,0,0,-,"-6,437","7,044",10,13,1/306,"-1,385","3,450",12,5,1/203,"+1,909","2,891",17,9,1/111,"+6,636","3,782",37,14,1/74
2026-05-03,日,はい,"+1,114","2,465",15,7,1/112,"+3,297","2,688",22,6,1/96,"-2,391","4,724",12,12,1/197,-789,"4,341",16,11,1/161,"+2,288","3,881",20,20,1/97,"+1,039","5,179",24,15,1/133,"-1,080","6,038",25,8,1/183,-857,"4,700",18,11,1/162
2026-05-01,金,いいえ,"-4,158","3,652",3,7,1/365,-881,"1,279",2,4,1/213,-458,"2,229",8,4,1/186,+737,850,5,4,1/94,"-1,119","3,065",9,8,1/180,+888,649,6,1,1/93,-581,"4,283",16,13,1/148,"-5,220","5,118",6,7,1/394
2026-04-30,木,いいえ,-113,867,5,2,1/124,"-1,632","3,343",9,8,1/197,+313,796,4,3,1/114,+723,"1,849",10,5,1/123,-726,"3,976",14,10,1/166,"-2,037","3,145",7,6,1/242,"-1,404","3,439",9,11,1/172,"-2,209","3,041",8,3,1/276
2026-04-29,水,いいえ,"+1,718","2,510",14,11,1/100,"-3,051","4,809",9,16,1/192,"-2,208","3,602",8,8,1/225,"-3,057","5,074",12,8,1/254,"+2,527","3,899",26,7,1/118,-566,804,2,3,1/161,"-5,920","10,348",28,16,1/235,"+1,955","2,269",14,9,1/99
2026-04-28,火,いいえ,-862,"3,092",8,11,1/163,"-1,645","5,564",17,14,1/179,-987,"3,218",11,4,1/215,+727,"3,041",14,9,1/132,-639,633,1,1,1/317,-309,189,0,0,-,"-1,746","1,329",0,3,1/443,"+1,039","5,638",29,11,1/141
2026-04-27,月,いいえ,+708,"2,313",10,11,1/110,"-1,071","2,645",8,6,1/189,"-1,244",980,1,0,1/980,-441,280,0,0,-,"+4,948","2,427",25,8,1/74,-112,78,0,0,-,-756,626,1,0,1/626,+425,"3,071",13,10,1/134
2026-04-26,日,はい,"+2,166","3,565",20,15,1/102,"+2,336","1,133",10,7,1/67,"-3,114","3,316",5,6,1/301,"+1,648","5,363",28,15,1/125,"-3,846","4,434",5,15,1/222,"+5,690","4,274",31,23,1/79,"+6,782","3,341",36,8,1/76,"-1,199","4,303",17,6,1/187
