日付,曜日,特定日,1066番台,,,,,1067番台,,,,,1068番台,,,,,1070番台,,,,,1071番台,,,,,1072番台,,,,,1073番台,,,,,1075番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-05-10,日,いいえ,"+2,196","1,880",13,9,1/85,"-1,334","3,690",13,7,1/185,"-1,634","2,872",8,5,1/221,"-6,063","6,273",7,14,1/299,"-1,057","3,841",14,6,1/192,"-3,284","4,122",7,9,1/258,-571,"1,295",5,0,1/259,-158,"5,098",19,15,1/150
2026-05-09,土,いいえ,+838,"2,623",13,8,1/125,"+1,206","1,406",8,8,1/88,"+2,475","2,233",17,6,1/97,-66,"4,982",19,15,1/147,"-4,420","8,404",20,21,1/205,-960,"3,004",11,5,1/188,"+3,334","5,939",37,13,1/119,-544,"3,275",11,9,1/164
2026-05-08,金,いいえ,"-2,468","6,452",14,26,1/161,-397,256,0,0,-,"+1,327","1,781",11,7,1/99,-432,"3,325",12,11,1/145,"+3,621","1,765",17,11,1/63,+366,425,3,1,1/106,"+1,275","3,334",19,5,1/139,-137,"4,712",19,12,1/152
2026-05-07,木,いいえ,-359,250,0,0,-,+924,"1,618",9,7,1/101,-278,671,3,2,1/134,-705,"1,504",4,3,1/215,-195,133,0,0,-,+213,"2,223",10,7,1/131,+181,972,3,7,1/97,"-3,730","3,798",6,5,1/345
2026-05-06,水,はい,+361,"3,864",19,7,1/149,-802,"4,514",16,12,1/161,-564,"3,610",14,8,1/164,"-3,199","5,567",15,11,1/214,"+3,063","2,855",21,11,1/89,"-1,712","5,601",18,12,1/187,"+1,418","3,381",15,17,1/106,"-1,873","3,442",11,2,1/265
2026-05-05,火,いいえ,-522,"4,657",17,15,1/146,"-1,402","2,842",7,8,1/189,+519,"1,702",10,2,1/142,"-1,089","2,712",8,7,1/181,-574,455,0,1,1/455,+519,"4,684",20,15,1/134,"+1,060","6,008",29,15,1/137,-622,396,0,1,1/396
2026-05-04,月,いいえ,+779,"3,419",15,15,1/114,"-1,736","3,038",9,5,1/217,"+2,032","2,782",19,6,1/111,"+1,699","1,977",13,6,1/104,"+3,069","3,909",24,13,1/106,"-4,054","6,620",18,11,1/228,"+3,994","5,976",38,17,1/109,-417,857,3,2,1/171
2026-05-03,日,はい,"-1,356","6,105",23,10,1/185,"-2,408","4,711",13,10,1/205,"-1,198","4,113",11,18,1/142,"+2,169","2,175",16,6,1/99,"-3,079","5,918",17,10,1/219,+839,"4,633",20,16,1/129,+334,"5,293",23,12,1/151,+673,"2,749",15,4,1/145
2026-05-01,金,いいえ,-774,"5,092",19,12,1/164,-126,608,3,2,1/122,+73,"1,944",10,3,1/150,-375,774,4,1,1/155,-539,"1,386",4,3,1/198,-846,"2,049",7,2,1/228,-75,"1,736",6,6,1/145,"+3,826","4,241",28,17,1/94
2026-04-30,木,いいえ,-843,"3,720",13,11,1/155,"+3,389","2,297",21,5,1/88,-792,624,1,0,1/624,-536,946,4,1,1/189,"+2,361","1,656",15,5,1/83,+703,459,4,2,1/77,"+4,771","3,476",28,14,1/83,"-1,379","3,778",12,6,1/210
