日付,曜日,特定日,319番台,,,,,,320番台,,,,,,321番台,,,,,,322番台,,,,,,323番台,,,,,,324番台,,,,,,325番台,,,,,,326番台,,,,,,465番台,,,,,,466番台,,,,,,467番台,,,,,,468番台,,,,,,469番台,,,,,,470番台,,,,,,471番台,,,,,,472番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2025-11-18,火,はい,+722,"7,346",27,23,1/147,3.60,+278,"1,516",9,1,1/152,2.78,-538,"6,500",20,24,1/148,4.08,+443,"3,851",16,13,1/133,3.95,-467,"2,974",12,4,1/186,2.36,-477,"4,396",16,13,1/152,3.36,"-1,226","1,886",3,3,1/314,2.51,"-1,020","6,593",19,23,1/157,3.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-17,月,いいえ,"-1,336","3,141",7,9,1/196,2.99,-770,"1,196",2,2,1/299,2.84,"+2,525","5,884",29,24,1/111,5.18,-216,178,0,0,-,3.27,+0,926,5,1,1/154,3.11,-7,"1,654",6,5,1/150,3.46,+955,"4,039",19,12,1/130,3.74,+234,"1,615",8,3,1/147,3.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-16,日,いいえ,-45,"3,051",11,9,1/153,3.37,-205,"2,711",9,8,1/159,3.32,"+2,385","4,818",27,16,1/112,4.58,-914,"1,216",1,3,1/304,2.99,-326,751,2,1,1/250,3.05,-123,"1,885",8,3,1/171,2.83,"+1,025","3,690",21,7,1/132,2.97,-254,551,1,1,1/276,3.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-15,土,はい,+978,"7,687",35,19,1/142,2.94,"-1,772","5,450",13,18,1/176,3.31,-560,"3,388",13,6,1/178,2.49,"+1,190","7,834",34,29,1/124,4.80,-563,"2,320",8,3,1/211,2.45,-77,"6,814",23,22,1/151,3.60,+320,"6,054",24,14,1/159,2.61,+768,"8,601",37,22,1/146,2.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-14,金,いいえ,-719,"2,074",5,5,1/207,2.92,-269,969,2,4,1/162,3.64,-614,"2,118",7,4,1/193,2.78,-91,279,1,0,1/279,3.24,"+3,334","5,561",35,12,1/118,3.39,+182,"1,355",6,4,1/136,3.54,-92,111,0,0,-,3.36,"+1,191","6,038",27,19,1/131,3.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-13,木,いいえ,-572,"1,974",6,5,1/179,3.10,"+1,257","4,691",24,12,1/130,3.43,-238,289,0,1,1/289,3.43,-374,404,0,1,1/404,3.28,"-1,091","1,130",0,4,1/283,3.27,-301,"1,392",4,4,1/174,3.31,-15,881,4,0,1/220,2.81,-665,"1,150",1,4,1/230,3.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-12,水,いいえ,"+1,029","4,452",21,13,1/131,3.71,+125,611,3,1,1/153,3.31,+92,620,3,1,1/155,3.30,"+1,457","3,908",21,13,1/115,4.34,+425,856,6,1,1/122,3.29,-263,"2,782",11,6,1/164,2.89,-205,270,0,1,1/270,3.45,-465,"1,265",3,2,1/253,2.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-11,火,いいえ,+884,"3,341",19,5,1/139,2.68,+299,747,4,3,1/107,3.83,+638,"5,183",20,18,1/136,4.06,-138,105,0,0,-,3.36,-72,"2,106",8,4,1/176,2.86,-158,"2,149",8,5,1/165,3.07,-6,"1,239",5,3,1/155,3.30,-310,"2,327",8,6,1/166,3.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-10,月,いいえ,+128,838,5,1,1/140,3.22,-226,318,1,0,1/318,3.19,+62,"2,593",11,6,1/153,3.09,-100,317,1,0,1/317,3.19,-126,936,3,4,1/134,3.78,+237,"2,800",7,17,1/117,5.02,+124,843,4,2,1/141,3.41,-478,670,1,1,1/335,3.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-09,日,いいえ,-583,"1,059",2,3,1/212,3.25,+520,"2,751",13,9,1/125,3.90,-403,790,2,0,1/395,2.75,-617,459,0,0,-,2.94,-315,669,2,0,1/335,2.88,"+1,293","4,009",19,14,1/121,4.28,+215,"4,561",17,18,1/130,4.43,-711,621,0,0,-,2.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-08,土,はい,"+1,699","5,054",27,15,1/120,4.08,-702,"1,233",2,3,1/247,3.05,"-1,371","3,096",6,10,1/194,3.20,-333,"1,461",5,2,1/209,2.79,-898,"1,793",4,3,1/256,2.65,-631,"1,094",2,2,1/274,2.94,-951,"4,420",16,9,1/177,2.45,+927,"7,335",27,24,1/144,3.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-07,金,いいえ,-54,"2,766",10,8,1/154,3.34,+17,"1,338",6,2,1/167,3.00,-418,"1,383",3,4,1/198,3.24,-286,980,3,2,1/196,3.15,-311,"2,634",10,5,1/176,2.73,-304,634,1,1,1/317,3.10,-159,"1,411",6,1,1/202,2.67,-662,769,0,3,1/256,3.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-05,水,はい,+907,"7,743",33,18,1/152,2.59,"-1,652","2,936",5,7,1/245,2.60,-44,"3,385",13,9,1/154,3.18,-340,"4,081",15,9,1/170,2.66,"+2,862","7,119",39,17,1/127,3.30,"+1,578","7,350",34,20,1/136,3.41,-606,"5,056",17,12,1/174,2.61,+151,"6,601",27,18,1/147,3.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-04,火,いいえ,-425,"1,781",6,2,1/223,2.56,-618,"2,566",8,7,1/171,3.14,-551,"1,100",2,3,1/220,3.20,-312,674,2,0,1/337,2.87,-807,"1,022",2,0,1/511,2.53,-223,506,1,1,1/253,3.25,-285,"4,808",14,20,1/141,4.37,-398,"1,134",4,0,1/284,2.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-03,月,いいえ,-716,"2,731",9,5,1/195,2.58,-134,"2,109",8,4,1/176,2.86,-832,"1,690",3,4,1/241,2.91,-522,"1,604",6,0,1/267,2.30,-749,"1,700",3,4,1/243,2.90,-19,"2,039",8,1,1/227,2.27,-446,666,2,0,1/333,2.88,-532,"1,444",4,1,1/289,2.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-02,日,いいえ,-615,"2,900",9,7,1/181,2.88,+126,"2,311",10,5,1/154,3.05,-50,"3,955",15,10,1/158,3.00,-627,655,0,0,-,2.74,-520,538,1,0,1/538,2.94,+108,"3,718",13,13,1/143,3.83,+219,"2,307",10,4,1/165,2.80,-701,"1,216",3,0,1/405,2.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-11-01,土,いいえ,"+1,103","4,246",21,11,1/133,3.41,-874,735,0,1,1/735,2.91,-139,"1,433",6,4,1/143,3.45,-184,"2,673",10,5,1/178,2.69,-441,333,0,0,-,3.09,+396,"4,248",18,13,1/137,3.68,-261,"1,103",4,1,1/221,2.83,-267,"2,769",9,10,1/146,3.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-31,金,いいえ,-669,"1,786",5,3,1/223,2.72,-782,"3,670",11,11,1/167,3.23,-363,983,3,0,1/328,2.63,+603,"3,149",15,10,1/126,3.89,-457,"1,308",4,2,1/218,2.87,-166,"1,017",3,3,1/170,3.39,"+2,219","7,211",37,17,1/134,3.05,-537,975,2,1,1/325,2.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-30,木,いいえ,+567,"2,854",14,6,1/143,3.05,-43,291,1,0,1/291,3.23,+115,"1,082",4,3,1/155,3.40,+939,"2,367",13,7,1/118,3.82,-150,139,0,0,-,3.32,+34,"1,206",5,3,1/151,3.34,"+2,617","3,287",21,12,1/100,4.78,"-1,022","2,275",6,5,1/207,2.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-29,水,いいえ,-642,"1,332",3,2,1/266,2.78,+514,"2,477",13,5,1/138,3.12,+38,"1,988",7,7,1/142,3.71,-297,550,1,1,1/275,3.20,-478,"2,709",8,7,1/181,2.99,+482,"3,009",13,9,1/137,3.60,-22,"1,978",7,7,1/141,3.72,-669,893,0,3,1/298,3.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-28,火,はい,+242,"4,892",20,13,1/148,3.15,"+3,657","7,482",38,30,1/110,5.38,+80,"1,367",7,0,1/195,2.55,+815,"5,127",24,13,1/139,3.21,"+1,136","6,143",22,29,1/120,5.20,-850,"2,649",7,3,1/265,2.17,-97,"1,891",8,2,1/189,2.59,"+1,344","7,950",33,27,1/133,4.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-27,月,いいえ,-321,"1,818",6,4,1/182,3.00,-396,"2,638",8,7,1/176,3.07,-816,"1,718",3,4,1/245,2.88,-914,"3,839",13,5,1/213,2.04,+112,"1,345",6,2,1/168,2.99,-473,395,0,0,-,3.01,-715,"1,274",3,2,1/255,2.83,-640,"1,184",2,4,1/197,3.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-26,日,いいえ,+873,"3,401",17,5,1/155,2.50,+402,"1,883",10,3,1/145,2.99,+67,"4,686",17,16,1/142,3.86,+344,902,5,3,1/113,3.73,-220,891,3,0,1/297,2.72,+204,"2,833",11,10,1/135,3.89,-385,"1,834",5,6,1/167,3.44,-585,"1,434",4,3,1/205,3.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-25,土,はい,"-1,017","3,494",9,9,1/194,2.80,+201,"5,374",25,8,1/163,2.09,-321,"4,077",17,6,1/177,2.21,+554,"7,374",29,23,1/142,3.71,-384,"6,429",25,15,1/161,2.58,-11,"4,894",22,9,1/158,2.41,-423,"3,848",14,8,1/175,2.58,-517,"5,081",20,8,1/181,2.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-10-24,金,いいえ,-304,"1,031",3,2,1/206,3.09,+569,"1,690",9,5,1/121,3.70,-408,"1,962",7,3,1/196,2.69,-183,"3,688",13,11,1/154,3.36,-105,462,1,1,1/231,3.31,-218,"1,472",6,3,1/164,3.12,-322,"1,643",6,3,1/183,2.93,-528,"1,044",2,4,1/174,3.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
