日付,曜日,特定日,394番台,,,,,,395番台,,,,,,396番台,,,,,,397番台,,,,,,398番台,,,,,,399番台,,,,,,400番台,,,,,,401番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-04-06,月,いいえ,"+2,095","5,038",28,15,1/117,3.98,-395,444,1,0,1/444,3.07,+531,"5,331",23,14,1/144,2.93,+38,"1,385",4,6,1/139,3.69,-311,"1,026",3,2,1/205,3.07,+28,"2,525",11,7,1/140,3.31,-540,530,0,1,1/530,3.11,"+1,069","6,237",27,21,1/130,3.84
2026-04-05,日,はい,-396,"7,725",26,29,1/140,3.82,"+1,679","7,692",31,32,1/122,4.64,"+1,675","7,308",34,23,1/128,3.78,-590,"5,700",20,12,1/178,2.08,-573,"6,043",21,19,1/151,3.09,-243,"5,508",22,14,1/153,2.68,-931,"3,056",8,8,1/191,2.70,"+1,695","7,363",32,24,1/131,3.74
2026-04-04,土,いいえ,-511,"5,163",18,13,1/167,2.51,"-1,592","5,392",11,22,1/163,3.49,-505,"1,155",2,3,1/231,3.06,"+1,808","6,716",31,23,1/124,4.11,+86,"5,129",18,22,1/128,4.28,-122,"3,809",16,8,1/159,2.61,"+2,151","5,219",29,17,1/113,4.30,+955,"5,501",24,20,1/125,4.11
2026-04-03,金,いいえ,-557,"1,212",3,1,1/303,2.64,-467,518,0,1,1/518,3.12,"-1,037","2,612",6,9,1/174,3.19,+523,701,5,2,1/100,3.67,"+1,223","4,913",23,14,1/133,3.38,-528,"2,765",7,11,1/154,3.55,-499,491,0,1,1/491,3.15,-449,389,0,1,1/389,3.27
2026-04-02,木,いいえ,+341,"4,498",17,16,1/136,3.70,-416,372,0,0,-,3.05,-631,601,0,2,1/301,3.26,-692,"1,068",2,0,1/534,2.50,"-1,067","2,565",6,6,1/214,2.61,-206,159,0,0,-,3.30,"+1,011","3,197",13,15,1/114,4.43,"+2,409","8,852",41,31,1/123,4.36
2026-04-01,水,いいえ,+236,"2,237",10,2,1/186,2.42,-110,90,0,0,-,3.39,"+2,562","7,379",36,26,1/119,4.44,-664,681,0,3,1/227,3.40,-355,"1,604",4,5,1/178,3.21,-395,258,0,0,-,3.18,-392,"1,655",6,4,1/166,3.11,-326,"4,213",14,16,1/140,3.72
2026-03-31,火,いいえ,-100,"1,501",6,3,1/167,3.05,+443,"5,103",20,18,1/134,3.76,+255,"6,166",19,29,1/128,4.52,+516,"2,400",9,13,1/109,4.48,+867,"3,430",18,7,1/137,2.95,-491,"1,058",3,1,1/265,2.80,-18,"1,642",7,3,1/164,2.99,-663,839,2,0,1/420,2.72
2026-03-30,月,いいえ,-517,"2,758",7,12,1/145,3.77,"+3,621","7,724",40,35,1/103,5.35,-481,"2,344",6,9,1/156,3.48,-979,"2,088",3,7,1/209,3.04,-665,561,0,1,1/561,3.07,+37,"1,263",5,2,1/180,2.99,-183,"2,030",8,4,1/169,2.88,-272,"5,951",20,19,1/153,3.10
2026-03-29,日,いいえ,-57,"1,645",7,3,1/165,2.98,-934,"2,963",8,7,1/198,2.59,-764,"1,753",4,5,1/195,3.04,-301,"1,290",4,3,1/184,3.10,+690,"1,209",9,1,1/121,3.22,"+1,512","5,284",26,14,1/132,3.26,-713,"4,093",12,12,1/171,2.83,-347,"1,456",5,4,1/162,3.24
2026-03-28,土,はい,+685,"7,932",32,30,1/128,4.27,-666,"3,093",10,8,1/172,2.82,+463,"6,204",24,22,1/135,3.79,+181,"6,552",24,26,1/131,4.18,-480,460,0,0,-,2.95,+355,"5,451",22,15,1/147,2.93,-304,795,2,2,1/199,3.24,-521,"4,960",14,22,1/138,4.11
2026-03-27,金,いいえ,-563,841,1,2,1/280,3.08,-417,621,1,2,1/207,3.34,-592,"5,048",17,12,1/174,2.36,-148,550,1,3,1/138,3.66,-279,551,1,1,1/276,3.18,"+1,543","2,034",11,13,1/85,4.91,"+2,193","3,625",22,13,1/104,4.49,-123,"1,186",4,4,1/148,3.46
2026-03-26,木,いいえ,-361,"1,210",4,2,1/202,2.95,-453,"1,960",6,6,1/163,3.23,"+1,334","3,757",17,16,1/114,4.43,-738,"1,100",2,4,1/183,3.35,+169,"2,261",10,6,1/141,3.28,-626,"2,878",8,11,1/151,3.52,+34,"1,618",6,5,1/147,3.39,-430,"4,572",15,14,1/158,3.02
2026-03-25,水,はい,"+2,426","8,668",41,31,1/120,4.51,-752,"4,057",13,11,1/169,2.74,"+1,417","8,088",39,21,1/135,2.98,"+2,073","9,295",40,35,1/124,4.50,"+2,735","8,206",40,27,1/122,4.20,"+1,414","7,257",33,27,1/121,4.45,"+1,363","7,485",34,21,1/136,3.16,+42,"7,355",30,21,1/144,2.96
2026-03-24,火,いいえ,"-1,543","2,478",3,8,1/225,2.86,+268,927,5,2,1/132,3.39,"-1,021","2,502",6,6,1/209,2.66,+167,209,1,2,1/70,3.83,"+1,913","7,974",36,30,1/121,4.54,-409,281,0,0,-,3.16,-347,"1,757",4,7,1/160,3.49,-288,"1,322",4,4,1/165,3.30
