日付,曜日,特定日,676番台,,,,,,,677番台,,,,,,,678番台,,,,,,,679番台,,,,,,,680番台,,,,,,,681番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-26,日,いいえ,"-2,109","4,588",10,8,1/255,1/5.90,1.90,"-1,229","7,258",24,18,1/173,1/6.20,2.39,-666,"5,368",20,8,1/192,1/6.04,1.73,"-1,226","5,726",17,16,1/174,1/6.15,2.92,-595,"3,922",12,12,1/163,1/6.09,3.38,-473,"8,020",25,32,1/141,1/6.14,4.78
2026-04-25,土,いいえ,"-2,649","5,444",13,9,1/247,1/6.23,1.73,"-1,764","7,798",25,17,1/186,1/6.21,1.96,"+2,480","7,221",35,27,1/116,1/6.19,4.72,-711,"5,677",18,16,1/167,1/5.99,2.99,"+3,685","6,744",40,18,1/116,1/6.04,3.28,"-1,811","7,300",22,18,1/183,1/6.22,2.32
2026-04-24,金,いいえ,+406,"2,302",12,2,1/164,1/6.11,2.19,"-1,408","4,606",10,20,1/154,1/6.34,4.64,"-1,755","2,421",2,7,1/269,1/6.05,3.09,+198,"7,563",27,28,1/138,1/6.15,4.48,-491,"1,500",4,2,1/250,1/5.70,2.62,-593,"3,846",11,9,1/192,1/5.59,2.59
2026-04-23,木,いいえ,-524,"4,745",17,11,1/169,1/6.18,2.51,"-1,332","1,656",1,5,1/276,1/6.22,3.26,-984,"2,350",6,7,1/181,1/6.76,3.32,-581,"5,954",20,14,1/175,1/5.88,2.36,-317,"1,366",4,3,1/195,1/5.92,3.06,-630,"3,178",8,9,1/187,1/5.61,3.12
2026-04-22,水,いいえ,-65,"4,493",16,13,1/155,1/5.96,3.23,"-1,425","2,979",7,6,1/229,1/6.31,2.45,-357,"2,864",9,7,1/179,1/5.80,2.89,+926,"4,176",20,12,1/131,1/6.30,3.41,-29,"1,420",6,3,1/158,1/6.44,3.08,+520,"6,202",24,20,1/141,1/6.01,3.76
2026-04-21,火,いいえ,-786,"2,196",5,7,1/183,1/6.18,3.45,+415,"2,806",12,7,1/148,1/5.88,3.05,+474,"5,909",23,18,1/144,1/5.98,3.48,-344,"1,992",7,4,1/181,1/6.25,2.82,-363,522,1,0,1/522,1/5.91,2.92,"+1,487","7,956",34,26,1/133,1/6.03,3.97
2026-04-20,月,いいえ,"+1,184","6,000",25,23,1/125,1/6.11,4.61,-423,"1,914",5,7,1/160,1/6.15,3.76,+86,"4,915",19,15,1/145,1/6.24,3.48,"-1,051","1,493",2,2,1/373,1/5.87,2.56,-509,"4,305",14,9,1/187,1/5.74,2.31,"+3,914","8,084",43,26,1/117,1/5.86,4.14
2026-04-19,日,いいえ,-163,"5,730",20,16,1/159,1/5.90,3.01,-697,"1,067",2,1,1/356,1/6.08,2.69,-583,"6,525",22,19,1/159,1/6.10,3.13,"-1,157","1,302",0,3,1/434,1/5.62,2.98,"-1,370","5,659",16,13,1/195,1/5.90,2.27,+831,"4,245",19,12,1/137,1/6.03,3.30
2026-04-18,土,いいえ,"-1,637","2,739",5,4,1/304,1/6.00,2.14,"+2,665","7,570",39,23,1/122,1/6.19,3.76,"-1,317","2,589",7,1,1/324,1/6.13,1.77,-87,"7,406",28,18,1/161,1/6.00,2.39,-843,"4,011",13,10,1/174,1/6.33,2.76,-246,"4,263",15,12,1/158,1/6.08,3.14
2026-04-17,金,はい,"-1,685","5,010",13,13,1/193,1/6.19,2.66,-791,"6,640",21,22,1/154,1/6.17,3.76,-480,"4,206",15,7,1/191,1/5.89,2.02,"+1,947","7,239",31,31,1/117,1/6.11,5.11,-746,"4,850",15,15,1/162,1/6.15,3.41,"+2,287","6,814",34,18,1/131,1/5.90,3.01
2026-04-16,木,いいえ,+381,"4,891",19,17,1/136,1/6.17,4.04,-986,"1,563",3,3,1/261,1/6.49,2.82,+158,"3,567",14,10,1/149,1/6.07,3.23,-411,"1,828",6,2,1/229,1/5.82,2.39,-193,"3,756",14,11,1/150,1/6.35,3.33,-573,"1,622",4,4,1/203,1/6.06,3.10
2026-04-15,水,いいえ,-229,"6,910",24,22,1/150,1/6.07,3.62,"-1,534","5,462",16,8,1/228,1/5.83,1.66,+991,"6,331",26,23,1/129,1/6.14,4.40,+480,"3,002",15,7,1/136,1/6.63,2.96,"+1,121","6,804",26,25,1/133,1/5.80,4.44,-277,"6,491",23,21,1/148,1/6.23,3.71
2026-04-14,火,いいえ,"+1,701","4,649",22,18,1/116,1/6.01,4.55,-759,"3,297",10,10,1/165,1/6.42,3.37,-743,"2,247",7,2,1/250,1/6.01,2.11,"+1,373","4,924",26,9,1/141,1/6.14,2.19,-6,"3,635",13,12,1/145,1/6.10,3.71,+21,"5,392",19,18,1/146,1/6.03,3.83
2026-04-13,月,いいえ,-321,"2,446",7,7,1/175,1/5.70,3.25,"+2,332","6,019",33,15,1/125,1/6.17,2.92,-763,"2,162",6,3,1/240,1/5.94,2.36,"+1,748","6,145",25,29,1/114,1/5.99,5.22,"-1,636","3,047",6,7,1/234,1/6.26,2.62,+590,"6,123",25,21,1/133,1/6.30,4.10
2026-04-12,日,いいえ,"-1,672","2,331",2,6,1/291,1/5.92,2.89,"-1,088","2,802",7,7,1/200,1/6.28,2.88,+54,"6,481",23,21,1/147,1/6.00,3.72,+956,"3,356",17,7,1/140,1/5.98,2.69,+0,"6,415",23,19,1/153,1/5.96,3.27,-569,"1,564",4,4,1/196,1/6.26,3.16
2026-04-11,土,いいえ,"+3,120","6,374",32,28,1/106,1/6.01,5.16,-279,"2,999",12,3,1/200,1/6.00,1.95,+778,"3,184",14,12,1/122,1/6.13,4.20,-643,"2,994",9,8,1/176,1/6.14,3.05,-287,"3,798",14,7,1/181,1/5.93,2.25,-583,"2,785",8,8,1/174,1/6.05,3.23
2026-04-10,金,いいえ,"+4,031","6,482",39,19,1/112,1/5.91,3.75,"-1,516","3,195",5,13,1/178,1/6.29,4.14,"-1,900","4,489",12,10,1/204,1/6.55,2.35,-230,"2,664",10,4,1/190,1/5.90,2.31,+597,"7,937",29,31,1/132,1/6.11,4.77,-381,"1,680",5,4,1/187,1/6.03,3.07
2026-04-09,木,いいえ,-838,"2,813",9,6,1/188,1/6.55,2.66,-516,0,0,0,-,-,-,"+1,755","4,971",27,12,1/127,1/6.24,2.88,+584,"3,953",15,17,1/124,1/6.11,4.68,-187,700,2,2,1/175,1/6.30,3.42,"+1,312","4,176",20,12,1/131,1/5.87,3.41
2026-04-08,水,いいえ,+734,"7,441",26,31,1/131,1/5.93,4.96,"+1,172","4,849",22,15,1/131,1/6.01,3.66,"+1,863","7,075",32,25,1/124,1/6.08,4.40,-481,"3,738",12,8,1/187,1/5.76,2.46,"-1,155","2,326",4,4,1/291,1/5.57,2.41,-351,"5,145",19,13,1/161,1/6.20,2.72
2026-04-07,火,はい,-735,"5,012",15,13,1/179,1/5.79,2.72,+406,"6,603",25,20,1/147,1/5.94,3.42,+557,"7,440",30,23,1/140,1/6.19,3.59,"-1,022","4,360",14,7,1/208,1/6.00,1.93,"-2,070","4,280",8,12,1/214,1/6.12,2.89,-227,"4,297",18,11,1/148,1/6.80,2.93
2026-04-06,月,いいえ,-290,"6,483",21,25,1/141,1/6.16,4.53,+548,"7,101",28,24,1/137,1/6.20,4.05,-714,"3,520",11,7,1/196,1/5.93,2.37,"+1,756","3,156",20,7,1/117,1/6.27,2.99,-139,"6,909",27,25,1/133,1/6.79,4.39,+769,"3,240",15,9,1/135,1/5.99,3.31
2026-04-05,日,いいえ,+303,"6,286",23,18,1/153,1/5.79,3.12,-348,"7,309",27,21,1/152,1/6.27,3.11,+97,"7,849",27,33,1/131,1/6.29,5.01,"+2,834","8,073",39,30,1/117,1/6.12,4.76,"+3,712","7,980",40,27,1/119,1/5.68,4.34,"+1,061","7,483",31,25,1/134,1/6.12,4.05
2026-04-04,土,はい,"-1,387","2,552",6,4,1/255,1/6.42,2.29,-591,"5,998",17,19,1/167,1/5.66,3.45,-692,"3,815",9,14,1/166,1/5.70,3.95,-299,"4,906",17,13,1/164,1/5.96,2.87,+533,"7,382",27,27,1/137,1/6.01,4.43,"+2,120","5,691",30,12,1/136,1/5.83,2.38
2026-04-03,金,いいえ,"-1,211","3,694",9,9,1/205,1/5.90,2.66,+380,"4,362",13,23,1/121,1/5.88,5.16,"+1,862","4,425",23,12,1/126,1/5.79,3.27,-364,"1,355",4,4,1/169,1/6.48,3.40,"+1,980","7,471",33,28,1/122,1/6.05,4.68,-324,"1,056",3,2,1/211,1/6.03,3.05
2026-04-02,木,いいえ,+292,"1,806",8,4,1/151,1/5.87,3.05,"-1,267","5,260",14,19,1/159,1/6.28,4.04,-821,"2,974",7,8,1/198,1/5.70,3.00,"-1,564","4,256",9,11,1/213,1/5.78,2.68,"+2,307","5,119",29,14,1/119,1/6.20,3.36,-642,"4,290",14,10,1/179,1/5.99,2.55
2026-04-01,水,いいえ,-969,"1,885",4,5,1/209,1/6.51,3.13,-179,"2,579",10,4,1/184,1/5.99,2.38,"-1,262","3,543",10,5,1/236,1/6.02,1.95,-551,"1,879",5,4,1/209,1/5.87,2.86,"+2,571","5,742",30,20,1/115,1/6.03,4.35,"+1,454","6,071",26,22,1/126,1/5.96,4.39
