日付,曜日,特定日,1401番台,,,,,1402番台,,,,,1403番台,,,,,1404番台,,,,,1405番台,,,,,1406番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2026-04-03,金,いいえ,-592,777,1,1,1/389,-197,928,2,3,1/186,"-1,091","1,480",2,1,1/493,-303,606,1,1,1/303,-105,"3,603",14,10,1/150,-700,"3,237",12,6,1/180
2026-04-02,木,いいえ,+904,"4,484",22,8,1/149,+310,"1,382",7,1,1/173,+711,"2,946",15,5,1/147,-191,801,3,1,1/200,-892,"2,752",7,5,1/229,+0,"2,167",8,6,1/155
2026-04-01,水,はい,"+3,096","7,354",39,26,1/113,+0,"2,558",10,6,1/160,+0,"1,550",6,3,1/172,+805,"4,639",20,13,1/141,-696,960,1,1,1/480,+204,"6,548",25,20,1/146
2026-03-31,火,はい,-96,"2,437",11,3,1/174,"-1,002","2,506",5,7,1/209,-196,"3,043",11,7,1/169,+0,"1,649",8,2,1/165,-96,"1,449",5,3,1/181,-701,"2,567",7,7,1/183
2026-03-30,月,いいえ,+202,"2,288",9,5,1/163,-500,384,0,0,-,+111,"1,224",5,2,1/175,-192,513,1,2,1/171,-299,"1,084",4,1,1/217,"-1,305","3,555",10,7,1/209
2026-03-29,日,いいえ,+313,"2,116",9,6,1/141,"+1,995","5,956",33,15,1/124,+0,"1,050",5,1,1/175,+204,"3,087",13,7,1/154,-701,"1,447",3,0,1/482,-398,"4,140",15,11,1/159
2026-03-28,土,いいえ,-700,"1,685",4,2,1/281,-594,"2,597",6,9,1/173,+404,"4,684",21,8,1/162,-697,"2,182",7,3,1/218,-592,"1,556",4,3,1/222,+0,"3,792",16,7,1/165
2026-03-27,金,はい,"+2,501","7,864",40,22,1/127,-504,"1,078",3,2,1/216,+408,"4,374",18,15,1/133,"-1,491","1,859",2,2,1/465,+508,"3,371",17,5,1/153,-297,"7,855",28,19,1/167
2026-03-26,木,いいえ,"-1,000","6,168",18,19,1/167,-500,"2,600",8,4,1/217,"+1,612","9,321",40,31,1/131,-499,"1,012",2,3,1/202,"+3,214","8,623",44,27,1/121,-993,"1,919",3,7,1/192
2026-03-25,水,いいえ,-498,"4,725",17,9,1/182,+316,"7,178",27,24,1/141,+0,"2,248",8,4,1/187,-190,"1,772",7,3,1/177,-393,"3,055",9,6,1/204,-193,"6,214",21,20,1/152
2026-03-24,火,はい,"+1,203","3,553",21,4,1/142,"+1,201","9,614",38,34,1/134,-104,"2,948",10,11,1/140,"+3,090","9,075",38,41,1/115,-97,"2,612",12,2,1/187,"-1,305","4,321",13,9,1/196
2026-03-23,月,いいえ,"+1,014","2,344",14,2,1/147,"+1,697","9,313",46,19,1/143,-395,710,2,0,1/355,-193,836,3,0,1/279,-395,"1,381",5,0,1/276,+712,"2,434",12,3,1/162
2026-03-22,日,いいえ,"+2,592","7,930",40,23,1/126,+0,"7,510",30,20,1/150,-392,"1,109",3,3,1/185,"+2,403","6,836",37,15,1/131,"+3,596","7,262",39,28,1/108,-798,"1,941",4,5,1/216
2026-03-21,土,はい,-704,"6,106",19,18,1/165,-490,"5,158",19,11,1/172,"+6,125","8,130",49,38,1/93,-594,"4,268",14,7,1/203,-591,"5,034",18,14,1/157,+304,"7,268",29,18,1/155
2026-03-20,金,いいえ,-297,"2,425",7,6,1/187,+0,770,3,2,1/154,"+3,092","7,981",34,43,1/104,+206,925,4,3,1/132,+0,"2,636",13,3,1/165,"+2,621","5,685",33,18,1/111
2026-03-19,木,いいえ,-194,846,3,2,1/169,-395,473,0,1,1/473,-102,335,1,0,1/335,-195,"2,110",7,6,1/162,+112,519,2,0,1/260,+401,"1,933",9,3,1/161
2026-03-18,水,いいえ,-101,"1,716",8,2,1/172,+0,389,2,0,1/195,+516,"1,702",10,2,1/142,-100,683,2,1,1/228,+116,"2,387",10,5,1/159,-300,599,2,0,1/300
2026-03-17,火,はい,+316,"3,829",14,15,1/132,-97,459,1,1,1/230,+406,606,4,0,1/152,-190,"1,058",3,2,1/212,+111,"1,117",6,1,1/160,-398,"1,502",4,3,1/215
2026-03-16,月,いいえ,-191,807,3,0,1/269,+0,221,1,0,1/221,+713,"1,634",10,1,1/149,+202,651,4,0,1/163,-105,548,1,2,1/183,-199,"1,638",7,1,1/205
2026-03-15,日,いいえ,"-1,092","3,993",10,14,1/166,+607,"3,037",12,10,1/138,"-1,198","3,580",11,7,1/199,"+1,204","3,949",20,8,1/141,-97,"1,169",4,3,1/167,-102,"3,880",13,11,1/162
2026-03-14,土,はい,-105,"4,861",21,5,1/187,-784,"5,934",22,10,1/185,-591,"4,308",11,16,1/160,+402,"6,175",22,22,1/140,+0,"1,187",6,0,1/198,+0,"2,668",11,4,1/178
2026-03-13,金,いいえ,+115,"2,520",9,11,1/126,-398,382,0,1,1/382,+715,"1,383",9,1,1/138,-395,563,1,0,1/563,-702,"1,181",3,1,1/295,+204,"2,466",9,8,1/145
2026-03-12,木,いいえ,+108,"1,490",6,3,1/166,+203,"3,609",13,9,1/164,+0,"2,106",7,7,1/150,-305,976,3,2,1/195,+115,"2,530",10,6,1/158,-395,695,2,0,1/348
2026-03-11,水,はい,"-1,493","2,614",6,3,1/290,-797,708,0,0,-,+116,"2,182",10,5,1/145,"+1,104","4,629",20,18,1/122,-795,"1,070",2,1,1/357,-597,"1,781",6,1,1/254
2026-03-10,火,いいえ,"-1,902","3,989",8,9,1/235,-190,519,1,1,1/260,-701,"2,214",6,6,1/185,+0,472,2,0,1/236,"-1,089","2,693",6,7,1/207,-399,327,0,0,-
2026-03-09,月,いいえ,-192,378,1,0,1/378,-300,"2,034",6,7,1/156,-196,"2,117",7,5,1/176,-395,530,1,0,1/530,-301,934,3,2,1/187,-503,695,1,2,1/232
2026-03-08,日,いいえ,-197,778,2,2,1/195,-194,"3,168",11,13,1/132,+0,683,2,1,1/228,-596,"2,013",3,10,1/155,+108,"1,574",7,2,1/175,-191,"1,655",6,1,1/236
2026-03-07,土,はい,+209,"2,557",10,8,1/142,+509,"5,163",20,16,1/143,-697,672,0,2,1/336,-193,"4,684",16,13,1/162,+0,"4,053",15,15,1/135,-194,"1,381",4,4,1/173
2026-03-06,金,いいえ,"+1,398","4,179",24,5,1/144,-299,253,0,0,-,-299,"1,976",6,5,1/180,-399,908,2,1,1/303,-195,"1,515",5,4,1/168,-191,"2,136",8,5,1/164
2026-03-05,木,いいえ,+902,"4,593",20,12,1/144,-105,"2,311",7,8,1/154,+808,"2,874",16,3,1/151,-299,"1,799",5,4,1/200,"+1,313","5,393",28,12,1/135,-196,"1,429",6,2,1/179
2026-03-04,水,はい,+407,"2,977",15,4,1/157,+501,"3,937",18,7,1/157,-590,994,2,1,1/331,-192,"2,709",8,8,1/169,-396,983,2,4,1/164,"+1,908","6,684",36,13,1/136
2026-03-03,火,いいえ,+0,"2,408",9,5,1/172,"-1,386","1,556",1,4,1/311,-101,228,0,1,1/228,+604,"1,106",6,4,1/111,"+2,213","7,423",33,27,1/124,-196,186,0,0,-
2026-03-01,日,はい,+713,"5,535",24,15,1/142,-505,"1,948",7,1,1/244,+603,"3,346",16,7,1/145,-594,"3,411",11,8,1/180,-193,"4,523",15,14,1/156,"+2,498","8,674",42,23,1/133
2026-02-28,土,いいえ,+312,"2,947",11,10,1/140,-396,397,0,0,-,+809,"3,810",19,7,1/147,+108,"2,323",8,6,1/166,-305,"2,023",6,6,1/169,-298,"2,100",6,8,1/150
