日付,曜日,特定日,1401番台,,,,,,,1402番台,,,,,,,1403番台,,,,,,,1427番台,,,,,,,1428番台,,,,,,,1429番台,,,,,,,1430番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-05-15,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+409,"1,940",8,7,1/129,1/5.71,3.68,-696,"1,738",3,8,1/158,1/6.30,3.64,+0,"3,093",10,12,1/141,1/5.81,3.70,-301,"1,618",5,4,1/180,1/5.87,3.06
2026-05-14,木,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"+1,097","7,543",28,37,1/116,1/6.11,5.00,-497,"1,139",2,3,1/228,1/5.65,3.08,-104,"1,765",8,0,1/221,1/5.79,2.31,+200,"5,804",21,21,1/138,1/5.95,3.73
2026-05-12,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-497,"1,526",3,6,1/170,1/5.92,3.43,+116,223,1,0,1/223,1/4.06,3.33,+910,"5,758",25,19,1/131,1/6.04,3.74,-496,"1,182",2,4,1/197,1/5.81,3.26
2026-05-11,月,はい,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+107,"2,367",10,4,1/169,1/5.73,2.70,+208,"3,211",12,9,1/153,1/5.61,3.09,-397,720,1,2,1/240,1/5.81,3.22,"+2,807","6,462",30,28,1/111,1/5.60,4.92
2026-05-10,日,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99,654,2,2,1/164,1/5.94,3.40,+312,"3,896",14,19,1/118,1/6.28,4.53,"+1,615","4,397",24,11,1/126,1/5.96,3.38,-702,"1,798",5,3,1/225,1/6.11,2.65
2026-05-09,土,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-395,"7,237",26,25,1/142,1/6.26,3.54,+406,"1,466",6,6,1/122,1/5.60,3.80,"-1,198","2,121",3,4,1/303,1/5.55,2.41,+113,"3,197",13,11,1/133,1/6.38,3.66
2026-05-08,金,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+605,"5,832",22,23,1/130,1/5.95,4.15,-302,309,0,0,-,1/5.16,3.12,+799,"4,323",18,15,1/131,1/5.80,3.77,-398,700,2,0,1/350,1/6.28,2.87
2026-05-07,木,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-199,431,1,0,1/431,1/5.30,3.08,-597,"2,317",6,8,1/166,1/6.08,3.29,+803,"2,350",12,4,1/147,1/5.41,2.90,-598,"1,610",3,4,1/230,1/5.44,2.88
2026-05-06,水,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,391","5,014",15,13,1/179,1/6.24,2.44,-99,650,2,1,1/217,1/5.37,3.17,+110,"5,900",23,21,1/134,1/6.31,3.81,"-1,597","3,563",8,6,1/255,1/5.80,2.00
2026-05-05,火,いいえ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-899,"7,880",25,26,1/155,1/6.00,3.06,+0,616,3,0,1/205,1/5.89,3.06,+607,"7,564",29,28,1/133,1/6.01,4.03,-98,"1,311",5,3,1/164,1/6.08,3.17
