日付,曜日,特定日,1214番台,,,,,1215番台,,,,,1216番台,,,,,1217番台,,,,,1218番台,,,,,1219番台,,,,,1317番台,,,,,1318番台,,,,,1319番台,,,,,1422番台,,,,,1423番台,,,,,1424番台,,,,,1425番台,,,,,1426番台,,,,
,,,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成,差枚,G数,BB,RB,合成
2025-09-18,木,いいえ,-104,154,0,0,-,-390,"2,031",5,10,1/135,-399,"1,448",4,5,1/161,-597,657,0,0,-,-199,520,2,1,1/173,-191,"5,157",20,15,1/147,+304,"4,651",17,18,1/133,+0,66,0,0,-,-99,"1,701",7,4,1/155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-17,水,はい,+0,375,2,0,1/188,-99,893,2,4,1/149,+605,"2,399",12,7,1/126,-299,681,2,0,1/341,-99,"1,366",6,0,1/228,+204,"2,109",6,9,1/141,-191,621,2,0,1/311,"-1,492","4,342",10,12,1/197,-101,708,2,2,1/177,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-16,火,いいえ,+115,218,1,0,1/218,-305,499,0,2,1/250,+603,"3,139",15,7,1/143,-300,"1,255",4,2,1/209,-396,798,2,1,1/266,-902,"1,747",3,3,1/291,-590,"1,020",2,2,1/255,-192,481,1,1,1/241,-98,968,3,2,1/194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-15,月,いいえ,-199,629,2,1,1/210,-195,"1,333",5,1,1/222,-597,"1,497",4,3,1/214,"-1,795","4,154",7,18,1/166,-199,182,0,0,-,-299,"3,215",13,7,1/161,-305,835,2,2,1/209,"+2,308","4,454",25,13,1/117,-301,"1,426",5,1,1/238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-14,日,いいえ,"+2,215","6,602",34,17,1/129,+906,"2,785",16,5,1/133,"-1,191","1,606",2,1,1/535,-592,"1,461",3,3,1/244,-305,"4,181",13,11,1/174,-98,"4,399",15,16,1/142,-700,"5,249",17,16,1/159,+507,"3,103",17,2,1/163,"+1,097","6,508",28,21,1/133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-13,土,いいえ,+309,"1,309",8,0,1/164,+507,"5,187",20,18,1/137,-195,"1,319",3,4,1/188,"+2,402","5,434",27,20,1/116,"+3,602","5,484",31,24,1/100,"+1,699","6,385",29,23,1/123,"+1,998","3,900",22,13,1/111,-905,"1,403",2,2,1/351,-300,"3,405",14,4,1/189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-12,金,いいえ,+507,"2,206",11,6,1/130,"+2,309","5,607",30,19,1/114,"+1,506","2,601",16,8,1/108,"+2,100","4,125",23,14,1/111,+507,"2,144",8,9,1/126,-902,"2,773",6,8,1/198,-499,682,1,1,1/341,-398,"2,037",7,5,1/170,-796,"1,752",3,6,1/195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-11,木,はい,-105,969,4,2,1/162,-391,"1,078",3,2,1/216,+405,"3,657",18,5,1/159,-101,"2,104",9,2,1/191,"-1,089","1,781",2,5,1/254,+0,"4,570",16,16,1/143,+901,"2,110",10,7,1/124,-503,"1,391",4,3,1/199,"+1,207","6,872",32,17,1/140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-10,水,いいえ,"+1,698","2,117",15,7,1/96,+0,"1,407",4,6,1/141,-797,"1,409",2,5,1/201,-703,"1,081",2,2,1/270,+516,"2,125",10,4,1/152,-303,882,2,2,1/221,-103,"3,271",10,13,1/142,-199,156,0,0,-,"+1,397","3,788",19,11,1/126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-09,火,いいえ,-703,"7,015",22,25,1/149,+112,521,3,0,1/174,-594,986,2,2,1/247,-594,"1,208",3,2,1/242,-498,830,2,0,1/415,+199,"4,115",18,13,1/133,+801,"4,475",16,20,1/124,-190,404,1,0,1/404,-305,"5,045",18,13,1/163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-07,日,はい,-192,803,2,2,1/201,-497,"3,677",11,12,1/160,+712,"3,385",15,9,1/141,+406,"3,978",16,11,1/147,-498,923,2,1,1/308,-97,"3,711",14,10,1/155,-394,"1,453",4,4,1/182,"-1,088","2,226",2,11,1/171,-193,"1,908",6,5,1/173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-06,土,いいえ,-395,"1,074",2,3,1/215,-192,884,3,0,1/295,"-1,196","1,872",2,5,1/267,-390,"3,187",9,11,1/159,-390,"1,130",3,2,1/226,-797,"3,127",11,8,1/165,-96,805,2,3,1/161,"+1,420","6,490",26,30,1/116,-198,"1,535",5,4,1/171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-05,金,いいえ,+913,"1,924",10,7,1/113,-994,"2,605",7,8,1/174,+203,"1,617",7,2,1/180,-703,"3,225",11,7,1/179,-499,"1,100",1,5,1/183,-500,"1,381",3,3,1/230,-591,"1,186",1,5,1/198,-900,"1,095",0,3,1/365,-196,"1,075",2,5,1/154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-04,木,いいえ,"+1,404","3,820",18,16,1/112,-103,311,1,0,1/311,-193,"1,341",4,5,1/149,+402,"3,028",14,6,1/151,-498,418,0,0,-,+516,"2,945",11,12,1/128,-504,577,1,0,1/577,-596,"2,020",5,5,1/202,"+1,201","3,497",18,12,1/117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-03,水,いいえ,-705,690,0,0,-,-399,547,1,0,1/547,-300,"1,247",3,5,1/156,-298,341,0,1,1/341,+605,"1,939",10,5,1/129,-298,560,1,0,1/560,+714,"1,352",9,0,1/150,-100,"1,956",6,7,1/150,-390,862,2,0,1/431,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-02,火,いいえ,-297,317,0,1,1/317,-300,404,0,0,-,-793,"1,338",2,3,1/268,-700,558,0,0,-,-392,344,0,0,-,-500,"1,612",4,5,1/179,-98,517,1,1,1/259,+603,"2,002",10,6,1/125,-504,924,1,2,1/308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-09-01,月,はい,"+1,402","4,416",21,15,1/123,+310,"1,661",8,2,1/166,-298,"1,930",5,6,1/175,-397,"1,940",5,5,1/194,+405,"3,024",14,8,1/137,"+2,098","3,984",26,8,1/117,-696,624,0,1,1/624,-500,480,0,1,1/480,-396,"2,059",5,7,1/172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-31,日,はい,-501,968,2,3,1/194,"+1,014","3,567",17,13,1/119,"-1,089","1,873",3,4,1/268,-901,"3,413",9,10,1/180,-298,"4,166",14,14,1/149,+309,"4,414",19,10,1/152,-597,"2,597",6,6,1/216,-703,485,0,0,-,-799,"3,119",8,8,1/195,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-30,土,いいえ,"+2,403","5,355",29,18,1/114,-390,"1,747",4,6,1/175,+0,"1,853",8,2,1/185,-391,807,2,2,1/202,-497,"1,218",2,4,1/203,-797,"1,404",2,2,1/351,+203,"2,074",9,6,1/138,+0,834,3,1,1/209,+312,"2,839",12,8,1/142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-29,金,いいえ,-104,714,2,0,1/357,+116,788,3,2,1/158,"+1,096","2,709",16,7,1/118,-99,"1,909",7,5,1/159,-301,339,0,0,-,-303,"2,337",9,3,1/195,+0,241,1,0,1/241,+905,"5,698",24,18,1/136,-302,538,1,1,1/269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-28,木,いいえ,"+1,002","1,203",9,1,1/120,+116,730,3,1,1/183,-397,"2,131",6,9,1/142,-399,"2,266",6,7,1/174,"+1,313","5,772",24,25,1/118,-103,111,0,0,-,+207,"5,410",20,19,1/139,-105,164,0,0,-,"-1,092","1,337",2,1,1/446,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-27,水,はい,-302,"3,533",12,12,1/147,"+1,314",882,8,3,1/80,+113,"2,535",10,6,1/158,-496,"1,653",4,4,1/207,-299,"2,347",7,7,1/168,-395,337,0,0,-,-502,513,0,1,1/513,"+1,314","2,406",13,5,1/134,+0,"1,177",4,3,1/168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-26,火,いいえ,+0,591,3,1,1/148,+916,"1,619",10,5,1/108,+116,590,3,0,1/197,+311,"1,089",4,5,1/121,+0,454,2,1,1/151,"+2,315","3,851",24,11,1/110,+115,"1,267",6,3,1/141,+208,763,4,1,1/153,+203,"1,017",5,2,1/145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-25,月,いいえ,-100,741,1,3,1/185,+0,772,2,3,1/154,-398,"1,909",6,3,1/212,-503,419,0,0,-,-304,"1,418",4,4,1/177,-391,546,0,2,1/273,-598,892,0,3,1/297,-197,"1,131",3,3,1/189,-101,983,3,3,1/164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-24,日,いいえ,+0,"2,161",7,8,1/144,-297,"4,776",15,15,1/159,-396,"1,287",4,0,1/322,-792,"3,608",11,7,1/200,"+4,593","6,688",37,29,1/101,-105,"1,583",6,1,1/226,"+1,205","5,161",25,13,1/136,+311,"5,895",21,27,1/123,-396,"1,145",4,0,1/286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-23,土,いいえ,-189,"2,554",10,4,1/182,-392,"1,472",4,5,1/164,+797,"5,009",19,18,1/135,-705,"3,496",9,10,1/184,-596,"2,034",6,5,1/185,-391,"1,815",5,5,1/182,"+1,209","3,557",17,12,1/123,+0,"1,057",5,0,1/211,+0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-22,金,いいえ,-792,"2,033",3,9,1/169,-303,915,2,3,1/183,-195,422,1,0,1/422,+109,476,3,0,1/159,+207,955,5,1,1/159,"+2,214","2,411",15,13,1/86,+509,"2,225",9,7,1/139,-99,105,0,0,-,"+1,910","3,073",19,11,1/102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-21,木,はい,-105,"2,711",10,6,1/169,-394,"2,146",6,5,1/195,-97,"1,419",5,2,1/203,-593,943,1,2,1/314,+0,"4,045",15,13,1/144,-998,"1,938",5,3,1/242,"+1,608","4,656",22,18,1/116,-304,526,1,0,1/526,+313,"1,941",9,3,1/162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-20,水,いいえ,-101,"1,254",4,3,1/179,-198,784,2,1,1/261,-297,485,1,0,1/485,-303,267,0,0,-,-399,816,1,3,1/204,+113,515,2,1,1/172,+808,"1,504",9,4,1/116,-102,334,1,1,1/167,+408,"4,273",19,12,1/138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-19,火,いいえ,-194,236,0,0,-,+403,"2,211",9,8,1/130,+205,879,5,1,1/147,-394,"1,805",6,4,1/181,+409,"1,755",8,3,1/160,-105,546,2,0,1/273,+0,914,4,2,1/152,-97,180,0,0,-,-701,"1,699",3,9,1/142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-18,月,いいえ,"-1,085","1,789",3,3,1/298,-104,"1,002",3,3,1/167,-297,"1,341",3,5,1/168,-197,356,1,0,1/356,-301,373,0,1,1/373,+902,"4,872",20,18,1/128,+112,"2,859",10,13,1/124,-304,"1,618",3,7,1/162,-195,396,1,0,1/396,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-17,日,はい,-497,978,2,1,1/326,-394,714,2,0,1/357,-300,"1,115",3,1,1/279,+799,"3,518",18,7,1/141,-705,"1,941",5,5,1/194,-902,"2,376",6,3,1/264,"-2,203","3,962",7,10,1/233,+916,"4,186",16,15,1/135,+0,"3,462",13,9,1/157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-16,土,いいえ,+511,718,5,1,1/120,"+2,007","3,619",22,11,1/110,+497,"1,101",6,3,1/122,-702,"1,247",1,3,1/312,+515,"2,172",10,5,1/145,-99,"2,527",10,6,1/158,"+1,104","6,254",28,20,1/130,-101,"1,120",3,4,1/160,+308,"3,677",14,13,1/136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-15,金,いいえ,+602,"3,369",16,7,1/146,"-1,798","2,534",3,5,1/317,-304,"1,683",7,1,1/210,-499,688,1,1,1/344,-696,"2,483",8,6,1/177,-901,"2,131",6,3,1/237,+206,"4,441",20,10,1/148,+609,"3,047",14,9,1/132,-993,"1,558",3,2,1/312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-14,木,いいえ,-399,"1,777",6,3,1/197,+0,"2,156",9,6,1/144,+409,"1,462",6,6,1/122,+804,"2,214",13,4,1/130,-193,"6,540",23,21,1/149,-499,626,1,0,1/626,-296,"1,654",6,2,1/207,-190,950,2,4,1/158,+909,"4,306",22,9,1/139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-13,水,いいえ,+109,"1,103",4,3,1/158,-101,"2,355",9,7,1/147,-502,610,1,0,1/610,+115,"1,297",5,4,1/144,+116,"2,483",9,6,1/166,-96,"2,258",9,5,1/161,"-1,087","1,673",1,4,1/335,-305,"1,121",2,3,1/224,+113,"6,049",21,23,1/137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-12,火,いいえ,+0,"4,112",17,14,1/133,+0,859,3,2,1/172,-697,"4,630",15,16,1/149,+107,"2,356",8,9,1/139,"-1,494","1,808",3,1,1/452,-702,"2,382",7,5,1/199,-697,"1,959",6,2,1/245,-397,862,2,1,1/287,-96,"2,964",12,3,1/198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-11,月,はい,-901,"3,226",9,10,1/170,+0,"1,302",6,0,1/217,-299,"2,349",8,5,1/181,-705,"1,102",3,0,1/367,+204,"4,104",15,14,1/142,"+1,397","4,850",25,10,1/139,"-1,087","1,603",2,3,1/321,+0,"5,837",23,17,1/146,-299,"1,836",7,2,1/204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-10,日,いいえ,-97,"2,713",11,3,1/194,-97,"3,322",13,6,1/175,-296,236,0,0,-,+799,"4,450",21,12,1/135,-301,543,1,1,1/272,-905,"1,662",2,6,1/208,-799,"2,218",5,9,1/158,-391,728,2,0,1/364,-396,"4,177",15,11,1/161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-09,土,いいえ,+512,"3,076",13,7,1/154,-392,442,0,1,1/442,"+1,814","4,181",23,12,1/119,+609,"1,360",9,1,1/136,-196,"2,809",9,10,1/148,-795,"1,971",6,1,1/282,-905,"1,564",2,3,1/313,-392,"2,438",8,3,1/222,+410,"3,970",18,8,1/153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-08,金,いいえ,-191,"2,052",6,8,1/147,-303,739,1,2,1/246,+0,"2,853",7,13,1/143,-97,"1,525",6,3,1/169,-199,936,3,2,1/187,-703,730,0,2,1/365,-391,"1,891",6,4,1/189,-699,589,0,0,-,-705,"2,597",6,9,1/173,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-07,木,はい,-500,"1,922",5,7,1/160,-102,921,3,1,1/230,"+1,010","4,153",15,21,1/115,-499,433,0,0,-,-301,"2,739",9,8,1/161,+802,"4,061",18,12,1/135,-303,773,2,2,1/193,-197,"4,150",14,16,1/138,-794,"1,300",2,1,1/433,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-05,火,いいえ,-198,"1,846",7,2,1/205,+513,"1,530",7,6,1/118,-700,607,0,0,-,+516,"4,641",19,16,1/133,-497,446,0,0,-,-198,"2,484",8,7,1/166,-104,"1,603",6,3,1/178,-191,499,2,0,1/250,+207,"3,191",13,11,1/133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-04,月,いいえ,-796,"1,762",3,6,1/196,-190,"1,437",5,2,1/205,-591,799,1,1,1/400,"+1,208","3,895",20,13,1/118,-390,"1,961",7,3,1/196,-700,"1,808",5,2,1/258,-301,890,2,2,1/223,-100,"1,228",4,3,1/175,+797,"2,953",17,2,1/155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-03,日,いいえ,-98,"1,703",6,5,1/155,-697,"2,290",6,5,1/208,-393,797,2,1,1/266,"+1,100","3,283",17,11,1/117,+0,"2,476",11,5,1/155,-302,"3,784",14,10,1/158,+115,"1,267",5,3,1/158,-96,"1,675",8,2,1/168,-994,"1,255",2,1,1/418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-02,土,いいえ,-397,"1,575",4,5,1/175,-302,"1,257",4,2,1/210,-298,"2,668",8,10,1/148,-599,634,0,1,1/634,+512,"1,668",9,2,1/152,+0,"3,391",12,11,1/147,-191,554,1,2,1/185,-195,"2,701",8,11,1/142,"+1,005","2,508",14,5,1/132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-08-01,金,はい,+307,"3,352",13,11,1/140,"-1,194","4,368",13,10,1/190,-196,"1,893",7,2,1/210,+209,"1,057",6,0,1/176,-101,367,1,0,1/367,"+2,219","5,202",25,15,1/130,+409,"1,511",7,3,1/151,-300,407,1,0,1/407,-499,761,2,0,1/381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-31,木,はい,-392,"1,145",3,2,1/229,-198,905,2,3,1/181,-191,"1,046",3,3,1/174,-796,"1,493",3,1,1/373,-398,"1,165",2,4,1/194,-196,"1,244",4,2,1/207,-105,470,0,2,1/235,"+1,614","3,060",17,9,1/118,+0,"1,303",4,3,1/186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-30,水,いいえ,+107,"2,211",8,10,1/123,-296,"2,153",8,5,1/166,+112,"2,278",8,7,1/152,-991,"2,258",4,7,1/205,+0,"3,025",12,8,1/151,+112,"1,364",5,3,1/171,-497,935,2,2,1/234,-301,692,1,2,1/231,+316,"1,120",6,1,1/160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-29,火,いいえ,-96,"1,574",5,5,1/157,-199,"1,003",3,0,1/334,+115,680,3,2,1/136,+0,"1,830",7,4,1/166,+0,"1,048",4,2,1/175,-394,841,2,1,1/280,+0,684,3,0,1/228,-301,351,0,1,1/351,-193,427,1,0,1/427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-28,月,いいえ,-192,"2,793",8,13,1/133,-305,"1,032",1,6,1/147,+115,"1,182",5,2,1/169,-101,812,2,3,1/162,"+1,395","3,930",20,12,1/123,-592,"1,371",2,7,1/152,+110,"2,101",10,4,1/150,+308,968,5,4,1/108,-192,333,0,1,1/333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-27,日,はい,-700,"1,661",3,2,1/332,-705,"1,957",3,8,1/178,"+1,907","5,390",26,21,1/115,-305,"1,069",3,2,1/214,-902,"3,454",7,16,1/150,+810,"5,306",25,11,1/147,"+1,316","4,347",20,15,1/124,-192,"1,624",4,4,1/203,"+2,099","4,511",24,15,1/116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-26,土,いいえ,-305,"1,735",6,3,1/193,-900,"1,912",3,6,1/212,-698,714,0,2,1/357,-301,"2,638",10,5,1/176,+114,626,3,0,1/209,-397,"2,790",10,5,1/186,+0,"3,757",15,10,1/150,+111,"2,515",8,9,1/148,-697,551,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-25,金,いいえ,+407,"1,184",6,2,1/148,+203,909,5,1,1/152,+313,"2,152",9,5,1/154,-399,980,1,4,1/196,"+1,202","1,088",9,4,1/84,-296,"1,604",5,4,1/178,-102,52,0,0,-,-304,"3,242",12,6,1/180,-305,333,0,1,1/333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-24,木,いいえ,"+1,207","3,610",19,9,1/129,-696,"1,562",4,3,1/223,-791,"1,442",3,2,1/288,-697,"1,793",4,5,1/199,-305,"2,376",6,10,1/149,-997,"1,645",3,3,1/274,-198,"2,262",9,4,1/174,+403,"3,286",14,6,1/164,-704,"2,348",7,3,1/235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-23,水,いいえ,-96,444,1,1,1/222,-705,"1,148",1,4,1/230,-301,969,2,3,1/194,+201,"1,260",7,2,1/140,-394,447,0,1,1/447,+0,872,3,3,1/145,-399,442,1,0,1/442,-302,294,0,0,-,-299,"2,679",8,10,1/149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-22,火,いいえ,+210,456,3,0,1/152,"+2,498","4,791",26,16,1/114,-102,103,0,0,-,-196,714,1,3,1/179,+410,"1,518",6,6,1/127,-105,"2,452",9,7,1/153,+0,390,1,1,1/195,+209,518,3,1,1/130,-304,"2,042",5,10,1/136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-21,月,はい,-702,932,1,3,1/233,"+1,913","5,530",28,17,1/123,-199,710,2,0,1/355,+110,"3,786",14,13,1/140,-199,"1,287",6,0,1/215,-592,"4,100",13,11,1/171,+405,"1,238",6,3,1/138,+111,"5,842",22,18,1/146,+609,"5,761",20,27,1/123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-20,日,いいえ,-702,656,0,0,-,-190,"2,420",9,5,1/173,-105,"1,960",6,8,1/140,+0,"1,164",5,1,1/194,-300,"1,280",4,2,1/213,+0,"1,822",6,6,1/152,"+1,512","4,247",20,15,1/121,-296,343,0,0,-,+113,"4,506",17,14,1/145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-19,土,いいえ,-194,"1,033",3,2,1/207,-399,"3,155",13,3,1/197,-703,"1,813",4,4,1/227,-793,"1,634",4,3,1/233,+497,"2,272",10,6,1/142,-597,"1,812",4,5,1/201,+0,"1,218",5,2,1/174,-305,381,0,0,-,-187,"3,975",13,13,1/153,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-18,金,いいえ,-905,"1,847",1,10,1/168,-904,"1,826",4,3,1/261,-304,"2,126",5,7,1/177,-992,"1,666",3,1,1/417,-791,"1,320",3,2,1/264,-398,"1,427",5,3,1/178,-992,"3,428",8,15,1/149,+315,"3,123",10,14,1/130,-301,770,2,2,1/193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-17,木,はい,-195,485,1,1,1/243,-304,508,1,1,1/254,-99,672,2,0,1/336,+113,"1,621",7,4,1/147,+915,"2,059",12,3,1/137,-392,380,0,1,1/380,+203,"1,610",6,8,1/115,-296,650,2,0,1/325,"+2,712","3,629",24,12,1/101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-16,水,いいえ,-100,93,0,0,-,+0,"1,403",6,2,1/175,+795,"4,225",20,10,1/141,-102,355,1,0,1/355,+409,841,5,2,1/120,-102,512,2,0,1/256,+0,625,3,0,1/208,+0,81,0,0,-,+203,"4,158",17,11,1/149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-15,火,いいえ,-196,294,0,1,1/294,+711,"5,026",22,12,1/148,-102,133,0,0,-,+205,"1,737",7,5,1/145,-505,319,0,0,-,-505,"2,470",9,3,1/206,-395,821,2,2,1/205,+712,"5,822",24,17,1/142,-103,154,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-14,月,いいえ,"+1,016","5,823",27,15,1/139,-102,314,1,0,1/314,+0,"1,091",3,3,1/182,+410,"3,626",18,6,1/151,+312,898,5,1,1/150,-790,"3,588",10,11,1/171,-500,515,0,1,1/515,-99,"3,039",12,5,1/179,-701,763,1,0,1/763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-13,日,いいえ,+311,"3,042",12,10,1/138,-792,724,0,2,1/362,-198,"1,136",4,1,1/227,-100,"2,886",9,13,1/131,+115,"5,945",19,24,1/138,+0,"1,222",5,1,1/204,-396,"1,301",3,5,1/163,-398,"2,458",10,2,1/205,"-1,092","2,591",5,8,1/199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-07-12,土,いいえ,"+1,611","1,831",14,4,1/102,+604,"1,344",9,0,1/149,-596,"1,130",2,3,1/226,-390,"1,806",6,3,1/201,"+1,009","5,838",24,18,1/139,+202,"2,692",10,8,1/150,-392,570,1,1,1/285,+510,"2,402",11,7,1/133,-101,"1,422",5,2,1/203,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
