日付,曜日,特定日,31番台,,,,,,,32番台,,,,,,,33番台,,,,,,,35番台,,,,,,,36番台,,,,,,,37番台,,,,,,,38番台,,,,,,,50番台,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定,差枚,G数,BB,RB,合成,ブドウ,設定
2026-04-17,金,いいえ,-500,968,2,2,1/242,1/6.17,3.11,-120,"1,328",6,0,1/221,1/6.14,2.31,-850,"1,684",4,2,1/281,1/6.09,2.45,-180,454,1,1,1/227,1/5.84,3.34,-470,"2,439",6,9,1/163,1/5.86,3.84,+290,"3,228",12,11,1/140,1/5.90,3.81,-510,"4,558",15,14,1/157,1/6.18,3.42,-840,"1,460",2,4,1/243,1/5.93,3.20
2026-04-16,木,いいえ,+250,673,4,0,1/168,1/5.69,2.87,-400,540,0,1,1/540,1/4.96,3.19,-390,"1,429",3,5,1/179,1/5.74,3.60,-150,170,0,0,-,1/4.84,3.29,-330,"2,436",9,3,1/203,1/5.94,2.23,-130,112,0,0,-,1/5.83,3.36,-190,"2,462",8,9,1/145,1/6.23,3.89,+150,"1,891",7,6,1/145,1/5.83,3.56
2026-04-14,火,はい,"-1,110","1,018",0,2,1/509,1/6.38,2.98,+310,"2,441",11,6,1/144,1/6.22,3.10,"-1,220","5,583",17,15,1/174,1/6.21,2.79,-490,688,0,3,1/229,1/5.71,3.69,-720,640,1,0,1/640,1/7.89,2.80,-260,499,1,0,1/499,1/5.31,2.95,"+1,320","5,431",25,14,1/139,1/5.86,2.92,-220,554,2,1,1/185,1/7.61,3.26
2026-04-13,月,いいえ,-400,672,0,4,1/168,1/5.86,4.02,-120,315,1,0,1/315,1/5.92,3.16,+330,667,4,1,1/133,1/5.84,3.21,-130,131,0,0,-,1/5.19,3.34,-100,"1,023",3,4,1/146,1/6.07,3.75,-150,163,0,0,-,1/4.96,3.30,-820,"1,785",3,7,1/179,1/6.29,3.83,+0,"1,474",6,2,1/184,1/5.82,2.72
2026-04-12,日,いいえ,+440,"3,886",16,11,1/144,1/5.99,3.27,-100,"2,726",11,3,1/195,1/5.83,2.09,-60,"2,878",12,7,1/151,1/6.53,2.98,-400,"3,219",12,5,1/189,1/6.07,2.18,-610,"1,304",3,1,1/326,1/5.67,2.50,+210,"5,295",20,14,1/156,1/5.86,2.88,-130,347,1,0,1/347,1/5.59,3.12,+430,"6,313",25,19,1/143,1/6.10,3.43
2026-04-11,土,いいえ,"-1,660","4,753",13,12,1/190,1/6.40,2.63,+530,"4,096",19,6,1/164,1/5.92,1.99,"-1,440","4,006",11,7,1/223,1/6.10,2.05,-410,"1,920",5,5,1/192,1/5.67,3.13,-320,"2,915",12,1,1/224,1/5.92,1.71,"-1,580","2,105",3,4,1/301,1/6.45,2.57,-930,951,0,2,1/476,1/5.91,3.05,"-1,240","4,604",13,8,1/219,1/5.78,1.94
2026-04-10,金,いいえ,+260,"2,210",11,2,1/170,1/6.12,2.23,"+1,890","3,855",23,9,1/120,1/6.19,2.97,-390,"3,813",11,13,1/159,1/5.82,3.74,+250,520,3,1,1/130,1/5.83,3.34,+320,"4,134",17,10,1/153,1/5.97,2.78,-200,"1,708",5,7,1/142,1/6.24,3.99,-120,397,1,1,1/199,1/5.91,3.40,-480,725,0,1,1/725,1/4.60,2.98
2026-04-09,木,いいえ,+370,"2,391",11,5,1/149,1/6.04,2.85,+180,"3,243",11,13,1/135,1/5.94,4.29,-130,556,2,1,1/185,1/6.57,3.26,+50,"2,972",12,6,1/165,1/5.99,2.61,-330,874,2,3,1/175,1/6.41,3.55,-160,110,0,0,-,1/7.41,3.37,"+2,010","4,446",26,11,1/120,1/6.30,3.07,+230,857,4,2,1/143,1/5.72,3.32
2026-04-08,水,いいえ,-160,166,0,0,-,1/5.10,3.30,-300,268,0,0,-,1/5.66,3.18,-570,388,0,0,-,1/7.52,3.04,+250,450,3,0,1/150,1/5.69,3.09,-30,405,1,1,1/203,1/5.00,3.40,+200,"1,520",7,2,1/169,1/5.81,2.71,-550,920,1,2,1/307,1/5.51,3.13,-370,"2,056",6,8,1/147,1/6.44,3.95
2026-04-07,火,いいえ,+170,283,2,0,1/142,1/5.92,3.24,-390,377,0,0,-,1/5.34,3.05,-670,"3,896",12,12,1/162,1/6.21,3.41,"+2,000","5,363",25,25,1/107,1/6.25,5.16,-70,66,0,0,-,1/5.43,3.42,-230,"3,049",10,8,1/169,1/5.81,3.03,+330,"1,406",6,6,1/117,1/6.25,4.05,-440,"1,338",5,0,1/268,1/6.34,2.28
