日付,曜日,特定日,667番台,,,,,,668番台,,,,,,670番台,,,,,,671番台,,,,,
,,,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定,差枚,G数,BB,RB,合成,設定
2026-03-09,月,いいえ,+580,"3,086",16,5,1/147,2.88,-199,865,3,2,1/173,3.30,-338,"4,118",12,15,1/153,3.64,-705,"1,089",1,4,1/218,3.31
2026-03-08,日,いいえ,+267,"3,084",14,4,1/171,2.49,"+1,483","7,182",30,31,1/118,5.04,-246,"1,904",8,2,1/190,2.66,-685,"2,533",8,4,1/211,2.50
2026-03-07,土,いいえ,+206,"4,810",19,12,1/155,2.96,-69,"2,261",6,11,1/133,4.12,-326,"1,324",5,1,1/221,2.75,-392,"1,754",5,6,1/159,3.46
2026-03-06,金,いいえ,"+1,008","3,817",20,9,1/132,3.45,-540,"1,666",5,4,1/185,3.08,+268,"1,992",9,5,1/142,3.38,"+1,325","7,847",33,23,1/140,3.58
2026-03-05,木,いいえ,"+3,210","6,806",37,22,1/115,4.77,-555,932,2,1,1/311,2.87,-324,"2,912",11,8,1/153,3.27,-109,"1,375",4,6,1/138,3.79
2026-03-04,水,いいえ,+77,"4,738",19,13,1/148,3.25,"+1,350","6,677",28,25,1/126,4.55,-945,"1,735",3,4,1/248,2.81,-948,"2,327",5,7,1/194,3.06
2026-03-02,月,いいえ,-293,"3,838",15,8,1/167,2.69,-164,507,1,2,1/169,3.50,-369,"5,724",20,20,1/143,3.82,-275,"1,445",5,2,1/206,2.85
2026-03-01,日,いいえ,"-1,032","4,029",14,5,1/212,2.00,+574,"5,970",26,16,1/142,3.32,-896,"2,617",8,3,1/238,2.25,"+1,008","7,316",31,22,1/138,3.71
2026-02-28,土,いいえ,+86,"3,691",14,10,1/154,3.19,-637,"2,314",6,6,1/193,2.95,+420,"3,568",15,9,1/149,3.19,"-1,084","1,362",1,2,1/454,2.58
2026-02-27,金,いいえ,-675,"3,795",12,11,1/165,3.11,-364,"1,785",6,4,1/179,3.05,+240,"4,860",20,17,1/131,4.09,-837,"1,216",3,0,1/405,2.47
