日付,曜日,特定日,837番台,,,,,,,,838番台,,,,,,,,850番台,,,,,,,,851番台,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,狙度,次差
2026-03-18,水,いいえ,+573,"4,691",19,16,1/134,1/6.26,18,4.0,-862,"2,342",6,6,1/195,1/6.39,18,4.0,"+1,273","5,909",26,18,1/134,1/5.94,11,-,+607,"4,028",17,15,1/126,1/6.48,14,3.0
2026-03-17,火,いいえ,"-1,391","3,631",11,6,1/214,1/6.60,29,11.0,-440,"2,224",6,8,1/159,1/6.20,11,-,+783,"7,110",27,28,1/129,1/6.27,12,1.0,-948,"2,739",7,6,1/211,1/6.10,18,6.0
2026-03-16,月,いいえ,-308,"2,233",8,7,1/149,1/6.77,15,1.0,+697,"6,446",29,17,1/140,1/6.37,5,-,-691,"1,936",5,4,1/215,1/6.12,49,34.0,+63,"6,487",23,25,1/135,1/6.44,14,9.0
2026-03-15,日,はい,"-1,774","3,719",9,6,1/248,1/6.31,11,6.0,-455,"2,766",8,10,1/154,1/6.28,5,-,-945,"7,078",23,22,1/157,1/6.31,22,11.0,"+1,208","6,318",32,13,1/140,1/6.36,11,6.0
2026-03-14,土,はい,+889,"6,254",28,19,1/133,1/6.37,3,-,"+1,651","6,236",30,17,1/133,1/6.02,5,2.0,"-1,949","3,015",3,9,1/251,1/6.11,20,5.0,+86,"7,560",27,26,1/143,1/6.13,15,10.0
2026-03-13,金,いいえ,+531,"4,556",20,11,1/147,1/6.10,2,-,+621,"6,742",28,23,1/132,1/6.55,5,3.0,-115,"1,526",5,4,1/170,1/5.85,8,3.0,"-2,112","5,453",12,15,1/202,1/6.15,29,21.0
2026-03-12,木,いいえ,-369,"4,784",15,17,1/150,1/6.11,2,-,-851,"1,690",3,5,1/211,1/6.31,12,3.0,"+2,244","7,716",35,32,1/115,1/6.36,3,1.0,-605,"2,564",7,5,1/214,1/5.70,9,6.0
2026-03-11,水,いいえ,+906,"5,161",22,19,1/126,1/6.38,1,-,-446,"2,196",7,5,1/183,1/6.18,6,1.0,+27,"5,555",20,20,1/139,1/6.40,6,1.0,+446,"6,186",26,18,1/141,1/6.33,5,4.0
2026-03-10,火,はい,"+1,183","6,181",29,15,1/140,1/6.09,1,-,+975,"6,346",26,24,1/127,1/6.34,6,5.0,-594,"5,388",16,22,1/142,1/6.45,6,5.0,-349,"6,212",23,17,1/155,1/6.28,8,2.0
2026-03-09,月,いいえ,-546,"1,596",4,4,1/200,1/6.17,3,-,+145,"3,066",12,10,1/139,1/6.27,6,3.0,"+1,220","6,172",28,18,1/134,1/6.11,8,2.0,+605,"3,913",16,13,1/135,1/6.11,12,4.0
2026-03-08,日,はい,+230,"4,401",17,14,1/142,1/6.15,1,-,-566,"1,350",4,2,1/225,1/6.62,8,7.0,-631,"3,490",11,12,1/152,1/6.60,15,7.0,+433,"5,535",23,21,1/126,1/6.83,18,3.0
2026-03-07,土,はい,"+1,888","5,535",29,19,1/115,1/6.62,0,-,"+1,727","7,575",33,31,1/118,1/6.43,0,-,-484,"1,489",4,3,1/213,1/6.07,7,7.0,-396,"5,614",20,16,1/156,1/6.24,19,12.0
2026-03-06,金,いいえ,"+1,208","6,428",30,22,1/124,1/6.70,1,-,+304,"4,161",16,16,1/130,1/6.48,6,4.0,+608,"3,690",14,17,1/119,1/6.32,2,1.0,+940,"8,044",26,39,1/124,1/6.02,12,6.0
2026-03-05,木,いいえ,+425,"6,890",25,26,1/135,1/6.24,6,4.0,-602,"1,288",3,2,1/258,1/6.12,17,6.0,"+1,313","5,991",30,17,1/127,1/6.53,2,-,+924,"7,588",30,31,1/124,1/6.48,11,5.0
2026-03-04,水,いいえ,"+2,048","7,405",34,28,1/119,1/6.32,8,6.0,"-1,268","4,108",15,7,1/187,1/7.07,12,4.0,+484,"5,018",24,12,1/139,1/6.67,2,-,-913,"7,051",22,24,1/153,1/6.27,18,6.0
2026-03-03,火,いいえ,"-1,173","1,309",1,2,1/436,1/6.37,17,9.0,"+2,427","6,645",35,24,1/113,1/6.62,8,4.0,"-1,160","4,232",12,7,1/223,1/5.85,4,-,"-2,419","5,667",10,16,1/218,1/5.88,18,1.0
2026-03-01,日,はい,"+1,117","7,929",28,31,1/134,1/5.83,11,9.0,+48,"3,857",14,10,1/161,1/5.83,14,3.0,+795,"7,592",35,21,1/136,1/6.60,2,-,-240,"4,265",11,16,1/158,1/5.53,2,-
2026-02-28,土,はい,+661,"6,634",28,19,1/141,1/6.19,39,26.0,+890,"7,218",27,26,1/136,1/6.00,13,10.0,-77,"4,939",18,14,1/154,1/6.07,3,1.0,+874,"7,394",32,19,1/145,1/6.09,2,-
