日付,曜日,特定日,1052番台,,,,,,,,,1053番台,,,,,,,,,1055番台,,,,,,,,,1056番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-19,木,いいえ,-466,"2,250",7,7,1/161,1/6.28,3.23,18,10.0,-417,"3,830",13,13,1/147,1/6.27,3.40,8,2.0,"+1,866","4,008",25,10,1/115,1/6.38,3.73,6,4.0,+453,"5,811",26,14,1/145,1/6.16,2.70,2,-
2026-03-18,水,いいえ,"-1,578","4,571",11,16,1/169,1/6.31,3.10,11,1.0,+132,"5,311",19,20,1/136,1/6.01,3.85,10,5.0,-802,"1,257",1,4,1/251,1/5.74,3.08,11,1.0,"+2,496","7,435",37,26,1/118,1/6.01,4.48,5,-
2026-03-17,火,いいえ,"+3,385","7,414",40,27,1/111,1/5.98,4.86,0,-,+764,"4,518",19,15,1/133,1/5.85,3.66,10,10.0,"+2,691","5,903",32,23,1/107,1/6.13,4.88,11,1.0,+453,"4,957",21,15,1/138,1/6.11,3.37,13,2.0
2026-03-16,月,いいえ,"+1,277","3,713",21,11,1/116,1/6.52,3.89,10,1.0,+854,"5,840",23,25,1/122,1/6.08,4.52,9,-,-527,"3,455",13,7,1/173,1/6.27,2.51,16,1.0,-632,"4,831",17,11,1/173,1/6.00,2.36,15,5.0
2026-03-15,日,はい,-855,"3,566",10,13,1/155,1/6.33,3.40,16,5.0,-469,"6,794",24,26,1/136,1/6.45,3.97,24,8.0,"+1,208","3,890",21,9,1/130,1/6.07,3.19,11,6.0,"+1,225","7,926",29,43,1/110,1/6.25,5.25,5,-
2026-03-14,土,はい,-865,"2,553",7,9,1/160,1/6.72,3.34,12,6.0,-648,"4,679",17,7,1/195,1/5.83,1.89,12,6.0,-955,"4,196",11,11,1/191,1/5.64,2.48,14,2.0,-27,"4,585",18,10,1/164,1/5.84,2.44,6,-
2026-03-13,金,いいえ,+990,"7,485",29,31,1/125,1/6.01,4.52,13,6.0,+278,"3,631",14,12,1/140,1/5.88,3.49,3,-,+478,"6,447",30,10,1/161,1/5.99,1.84,7,4.0,+21,"5,758",27,10,1/156,1/6.46,2.10,13,6.0
2026-03-12,木,いいえ,+623,"7,169",30,22,1/138,1/6.09,3.35,26,7.0,"-1,392","2,570",6,5,1/234,1/6.46,2.41,5,-,-531,"6,255",23,16,1/160,1/6.09,2.48,19,14.0,"-1,828","2,705",4,3,1/386,1/5.75,1.93,29,3.0
2026-03-11,水,いいえ,"+1,080","5,238",24,14,1/138,1/5.81,3.12,39,28.0,+461,"2,332",13,3,1/146,1/6.34,2.78,2,-,"-1,126","3,111",7,10,1/183,1/6.08,2.97,8,6.0,-7,"5,757",23,14,1/156,1/6.00,2.53,11,3.0
2026-03-10,火,はい,"-1,473","2,703",4,6,1/270,1/5.66,2.36,40,30.0,+628,"5,931",25,18,1/138,1/6.02,3.34,2,-,+889,"6,438",28,21,1/131,1/6.12,3.72,6,4.0,+486,"5,479",22,15,1/148,1/5.76,2.91,10,4.0
