日付,曜日,特定日,716番台,,,,,,,,,717番台,,,,,,,,,731番台,,,,,,,,,732番台,,,,,,,,,733番台,,,,,,,,
,,,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差,差枚,G数,BB,RB,合成,ブドウ,設定,狙度,次差
2026-03-04,水,いいえ,"-1,392","3,505",6,10,1/219,-,2.71,6,-,-505,"1,811",5,6,1/165,-,3.38,11,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-03,火,いいえ,+889,"2,916",15,7,1/133,-,3.44,2,-,"+1,934","3,548",19,13,1/111,-,4.25,11,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-03-01,日,はい,+155,"2,098",8,5,1/161,-,3.21,7,-,-559,"4,643",16,11,1/172,-,2.75,25,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-28,土,はい,"+1,579","4,963",29,7,1/138,-,2.89,10,-,"-1,111","5,895",18,15,1/179,-,2.56,19,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-27,金,いいえ,+669,"4,078",16,17,1/124,-,4.23,34,28.0,+804,"6,046",23,19,1/144,-,3.47,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-26,木,いいえ,-999,"4,215",10,10,1/211,-,2.48,47,30.0,"+1,149","5,359",24,11,1/153,-,2.81,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-25,水,いいえ,+888,"5,763",22,17,1/148,-,3.29,21,-,-631,"1,785",5,3,1/223,-,2.89,32,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-24,火,いいえ,-876,"2,476",6,6,1/206,-,2.89,40,19.0,-969,"3,289",8,7,1/219,-,2.57,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-23,月,いいえ,-302,"2,949",9,12,1/140,-,3.77,25,16.0,+0,"3,555",13,11,1/148,-,3.41,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-22,日,はい,-491,"4,454",15,11,1/171,-,2.82,16,7.0,-321,"3,976",10,18,1/142,-,4.00,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-21,土,はい,-974,"3,974",12,6,1/221,-,2.25,16,8.0,"+1,081","6,289",27,20,1/134,-,3.77,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-20,金,はい,-752,"2,743",7,6,1/211,-,2.76,5,-,"-1,481","2,675",5,4,1/297,-,2.38,32,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026-02-19,木,いいえ,"+2,948","6,823",34,18,1/131,-,3.56,1,-,+202,"1,631",6,4,1/163,-,3.28,19,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
